Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-NOV-2015,16667.9,17069,16587.25,17003,80562033,2519.91
10-NOV-2015,16895.2,17047.3,16805.05,16836,60864871,1692.89
11-NOV-2015,16944.7,17016.8,16935.9,16956,10972178,393.04
13-NOV-2015,16829.3,16962.55,16741.8,16932.85,47160823,1655.74
16-NOV-2015,16881.65,17230.5,16855.5,17184.9,50710286,1543.3
17-NOV-2015,17302.55,17302.55,17028.2,17140.45,53695877,1608.57
18-NOV-2015,17108.9,17186.7,16787.55,16812.1,44250311,1342.1
19-NOV-2015,16944.35,17110.35,16874.7,17071.9,42911555,1427
20-NOV-2015,17022.7,17262.85,16931.3,17055.6,56529641,1862.49
23-NOV-2015,17120.25,17126.35,16969.35,17060.25,45465543,1430.55
24-NOV-2015,17012.85,17108.4,16964.9,16988.65,39690936,1265.36
26-NOV-2015,16988.2,17111.45,16972.6,17036.55,74810537,2690.8
27-NOV-2015,17095.2,17403.65,17049.55,17370.95,70130117,2097.43
30-NOV-2015,17336.25,17498.35,17336.25,17430.4,57553672,1861.22
01-DEC-2015,17456.75,17495.45,17353.85,17398.55,40750147,1395.83
02-DEC-2015,17457.15,17470.85,17164,17218.5,40854274,1263.18
03-DEC-2015,17137.8,17219,17080.25,17110.1,41691597,1323.84
04-DEC-2015,17009.45,17009.45,16880.35,16897.3,47280436,1522.98
07-DEC-2015,17018,17031.85,16921.75,16947,34913097,1162.91
08-DEC-2015,16888.65,16943.05,16783.65,16801.15,43130595,1340.55
09-DEC-2015,16762.15,16868.6,16626.55,16660.75,41301150,1274.24
10-DEC-2015,16697.2,16745.25,16573.15,16711.05,50821530,1699.95
11-DEC-2015,16751.35,16758.7,16260.1,16342.5,79358482,2386.65
14-DEC-2015,16212.4,16440.85,16205.8,16350.65,60757601,1861.6
15-DEC-2015,16342.35,16425.15,16188.05,16398.65,56408351,1714.81
16-DEC-2015,16464.5,16640.4,16363.9,16579.4,67659792,1985.14
17-DEC-2015,16704.05,16771.8,16544.65,16741.5,72117905,2081.73
18-DEC-2015,16719.45,16737.7,16572.75,16594.3,68363392,2030.29
21-DEC-2015,16593.4,16848.6,16580.65,16825.15,43038799,1256.07
22-DEC-2015,16810.7,16946.1,16704.15,16749.2,55650655,1569.96
23-DEC-2015,16828.35,16913.15,16812.5,16882.5,37200425,1077.83
24-DEC-2015,16926.95,16939.6,16756.9,16811,27091752,807.26
28-DEC-2015,16843.4,17019,16843.4,16979.15,41135712,1365.1
29-DEC-2015,16988.3,17045.55,16921.15,16991.45,36299594,1153.71
30-DEC-2015,16997.5,17011.3,16889.05,16917.9,40935766,1101.5
31-DEC-2015,16916.05,16972.25,16896.65,16922.2,59187548,1742.66
