Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2017,18242.3,18249,17844.9,17969.6,74444730,1857.24
03-JAN-2017,18002.75,18115.05,17830.95,18035.6,64513818,1769.3
04-JAN-2017,18037.45,18092.85,17868.9,17891,50508161,1615.85
05-JAN-2017,18000.75,18164.05,17977.8,18115.95,68874940,2271.18
06-JAN-2017,18168.45,18325.5,18157.3,18264,65919927,2174.59
09-JAN-2017,18314.25,18373.1,18256.15,18286.65,42677260,1404.38
10-JAN-2017,18351.45,18441.15,18275.75,18409.6,59993426,2012.18
11-JAN-2017,18535.35,18889.45,18515.25,18830,102842482,3493.47
12-JAN-2017,18885.45,18966.3,18805.85,18873.95,66286062,1982.54
13-JAN-2017,18949.7,18952.25,18781.25,18912.1,55762182,1855.3
16-JAN-2017,18899.7,19134.5,18865.25,19096.45,59319825,1740.77
17-JAN-2017,19128.15,19202.25,18981.85,19067.05,63686033,1862.62
18-JAN-2017,19074.85,19276.5,19072.1,19164.5,56898977,1871.38
19-JAN-2017,19165.35,19185.3,19046.1,19124.25,83679399,2409.78
20-JAN-2017,18996.6,19071.65,18793.05,18820.8,110140976,3855.9
23-JAN-2017,18762,18909.65,18722.85,18842.7,97144867,3232.45
24-JAN-2017,18931,19054.3,18906.95,19023.5,81717037,3118.62
25-JAN-2017,19120.05,19518.45,19114.15,19473.2,131028002,4672.67
27-JAN-2017,19588.4,19794.95,19534.9,19708.3,157251635,4654.79
30-JAN-2017,19718.8,19767.05,19561.1,19585.25,71178678,2113.37
31-JAN-2017,19533.2,19624.1,19435.45,19515.15,67343878,2331.66
01-FEB-2017,19522.4,20047.85,19470.95,20020.6,145906975,4549.85
02-FEB-2017,20053.95,20146.9,19915.2,20070.3,116963782,3279.64
03-FEB-2017,20061.9,20229.65,20009.95,20196.8,113714035,3092.66
06-FEB-2017,20307.15,20462.45,20298.05,20371.6,99281709,2853.85
07-FEB-2017,20367.3,20426.95,20281.5,20327.25,109432014,2835.6
08-FEB-2017,20335.25,20362.8,20070.15,20245.4,85902788,2626.17
09-FEB-2017,20312.65,20406.6,20000.35,20151.15,107559620,2763.25
10-FEB-2017,20225.75,20310,20167.1,20213.9,117595817,3354.08
13-FEB-2017,20273.65,20308.7,20116.9,20251.8,108967330,3171.01
14-FEB-2017,20304.5,20314.05,20158.85,20258.1,69832338,2184.7
15-FEB-2017,20282.1,20368.2,20115.85,20163.7,74195087,2264.21
16-FEB-2017,20243.25,20295.55,20088.2,20243.7,81485552,2495.9
17-FEB-2017,20918.45,21042.35,20449.65,20551.35,197061810,17389.12
20-FEB-2017,20494.85,20702.6,20472.4,20677.1,66182208,1900.02
21-FEB-2017,20695.9,20903.35,20619.25,20860.95,74587721,2472.87
22-FEB-2017,20937.6,20958.25,20829.65,20868.45,92261695,3234.58
23-FEB-2017,20887.65,21011.9,20828.4,20876.65,95406666,4117
27-FEB-2017,20853.45,20853.45,20584.75,20613.05,60499704,2147.48
28-FEB-2017,20632.85,20681.3,20560.6,20607.25,76658515,1994.39
01-MAR-2017,20698.9,20833.75,20678.75,20783.75,75542256,2221.57
02-MAR-2017,20885,20905,20516.9,20560.05,81044163,2531.48
03-MAR-2017,20572.85,20580.45,20423.35,20495.6,53179917,1530.14
06-MAR-2017,20548.95,20727.5,20532.2,20663.65,56093806,1770.09
07-MAR-2017,20685.95,20701.25,20585.95,20627.5,47804156,1672.58
08-MAR-2017,20630.15,20715.2,20534.25,20676.55,63112788,2417.86
09-MAR-2017,20620.55,20780.25,20603.9,20721.35,59782379,2026.91
10-MAR-2017,20825.9,20876.95,20648.8,20727.55,53537238,1964.77
14-MAR-2017,21189.85,21274.45,21059.7,21102.7,98698328,3498.01
15-MAR-2017,21089.4,21216.9,21063.95,21157.9,75243419,2391.61
16-MAR-2017,21237.5,21289.8,21194.25,21249.9,73921069,2310.19
17-MAR-2017,21308.45,21336.05,21127.95,21175.05,92308641,3726.23
20-MAR-2017,21202.55,21202.55,21084.8,21110.25,50376495,1837.69
21-MAR-2017,21110.65,21146.5,20967,21019,72936344,2481.96
22-MAR-2017,20815.35,20899,20753.9,20781.35,83727177,3342.31
23-MAR-2017,20848.75,20934.75,20775.35,20895.5,60387250,2370.82
24-MAR-2017,20987.6,21174.1,20929.15,21122.55,124797100,3469.38
27-MAR-2017,21178.1,21179.2,20979.55,21056.9,97615919,2724.96
28-MAR-2017,21229,21264.95,21145,21225.4,95258847,3085.11
29-MAR-2017,21291.45,21418.6,21255.75,21391.15,119195883,3822.73
30-MAR-2017,21374.35,21696,21331.9,21620.7,111132480,4310.1
31-MAR-2017,21551.85,21574.15,21414,21444.15,103206746,3006.08
03-APR-2017,21539.2,21565.45,21408.6,21547.75,61067763,1906.61
05-APR-2017,21602.2,21699.3,21499.75,21652.7,84599454,2687.88
06-APR-2017,21572.7,21674,21488.9,21622.95,93689427,3046.09
07-APR-2017,21536.5,21616.85,21397,21431.15,96285404,2249.17
10-APR-2017,21492.05,21552.1,21396.05,21520.15,57491405,1899.75
11-APR-2017,21521.45,21753.35,21483.55,21736.15,89433764,2573
12-APR-2017,21735.65,21787.1,21551.75,21666.8,78966353,2262.2
13-APR-2017,21651.25,21758.85,21627,21686.6,71469667,2103.68
17-APR-2017,21700.5,21743.3,21576.75,21647.6,49031440,1613.7
18-APR-2017,21706.05,21947,21634.15,21671.85,85174794,2519.03
19-APR-2017,21674.1,21706.3,21470.2,21556.35,81449296,2982.23
20-APR-2017,21419.45,21558.85,21396,21491.4,100132829,4072.58
21-APR-2017,21567.5,21614.55,21386.2,21551.45,77253527,3180.14
24-APR-2017,21591.9,21884.85,21578.65,21857.4,84637572,3426.83
25-APR-2017,21960.65,22093.25,21900.3,22054.7,88819491,2951.25
26-APR-2017,22158.65,22276.05,21814.9,22242.85,133893025,3440.25
27-APR-2017,22274.05,22380.85,22169.8,22326.3,166567366,5121.57
28-APR-2017,22296.8,22383,22182.55,22358.25,167782299,3435.87
02-MAY-2017,22412.55,22492.15,22266.15,22341.35,140738147,3271.81
03-MAY-2017,22445.85,22449,22240.05,22307.3,130697797,2999.79
04-MAY-2017,22618.3,22743.7,22449.9,22720.1,226413641,6577.31
05-MAY-2017,22844.85,22853.55,22514,22604.95,255187439,6371.44
08-MAY-2017,22678.45,22835.15,22632.5,22767.35,106479323,3170.57
09-MAY-2017,22820.8,22835.35,22664.35,22707.3,81028829,2350.68
10-MAY-2017,22767.75,22859.4,22742.05,22830.35,73498955,2353.34
11-MAY-2017,22916.05,22977.85,22764.65,22818.45,78856978,2557.6
12-MAY-2017,22840.4,22859.15,22578,22671.7,96397424,4278.32
15-MAY-2017,22735.85,22891.7,22730.35,22821.5,74700041,3207.83
16-MAY-2017,22857.6,22944.1,22727.65,22928.6,134784390,3836.41
17-MAY-2017,22972.35,22978.15,22830.1,22935.95,96263996,3028.04
18-MAY-2017,22750.45,22834.55,22660.2,22698.6,113423012,4013.89
19-MAY-2017,22761.95,22902.25,22628.45,22769.8,154944222,4945.9
22-MAY-2017,22874.8,22918.35,22637.75,22652.85,99779442,3093.31
23-MAY-2017,22674.9,22740.4,22492.2,22582.8,114212196,3364.36
24-MAY-2017,22624.5,22673.4,22469.8,22536.3,91993332,2841.15
25-MAY-2017,22573.65,23267.8,22570.35,23190.8,132711087,4830.6
26-MAY-2017,23151.4,23408.35,23092.35,23362.2,78876968,2631.64
29-MAY-2017,23310.6,23464,23141.15,23182.75,60052384,2070.83
30-MAY-2017,23142.1,23337.15,23093.95,23307.25,66704876,2050.67
31-MAY-2017,23321.2,23469.45,23248.5,23424.8,182918715,5866.26
01-JUN-2017,23394.1,23396.15,23224.05,23310.15,81509629,2488.5
02-JUN-2017,23435.2,23453.3,23308.4,23375.9,67217648,2138.9
05-JUN-2017,23397.4,23494.7,23349.95,23459.65,52203667,1832.18
06-JUN-2017,23523.05,23536.1,23381.7,23416.3,54088336,1892.27
07-JUN-2017,23482.85,23606.15,23427.55,23567.65,56452419,1793.66
08-JUN-2017,23630.35,23659.1,23514.2,23536.1,64825589,2301.45
09-JUN-2017,23483.95,23708.65,23476.85,23690.9,58400790,1946.72
12-JUN-2017,23610.15,23630.1,23441.8,23470.45,56374007,1752.71
13-JUN-2017,23447,23615.2,23446.9,23477.85,47770607,1568.75
14-JUN-2017,23555.3,23562.8,23399.4,23498.7,81088281,2706.06
15-JUN-2017,23444.7,23473.3,23311.85,23391.75,72763994,2150.2
16-JUN-2017,23448.6,23527.65,23391,23502.75,102155200,3301.93
19-JUN-2017,23571.35,23806.65,23535.7,23742.15,60483537,2207.29
20-JUN-2017,23720.6,23760.35,23651.2,23697.95,71814671,2145.64
21-JUN-2017,23638.15,23760.75,23610.2,23708.75,62327766,1879.19
22-JUN-2017,23716.85,23897.85,23694.15,23736.1,79042264,2671.82
23-JUN-2017,23772.3,23786.5,23507.5,23542.75,74946434,2296.54
27-JUN-2017,23636.95,23640.1,23055.75,23216.25,101336046,3170.71
28-JUN-2017,23209.55,23322.55,23113.65,23235.85,95524464,3008.65
29-JUN-2017,23312.4,23476,23124.35,23227.3,146858174,4341.23
30-JUN-2017,23137.25,23254.1,22996.4,23211.2,70715291,2326.93
03-JUL-2017,23240.35,23330.1,23144.3,23272.8,51036105,1729.62
04-JUL-2017,23325.5,23363.05,23163.7,23214.2,55294067,1740.14
05-JUL-2017,23241.9,23380.35,23205.55,23352.6,89709252,1863.29
06-JUL-2017,23399.5,23540.15,23369.5,23466.65,130090775,2524.9
07-JUL-2017,23463.75,23492.6,23400.6,23449.15,88942526,1922.97
10-JUL-2017,23583.25,23964.8,23289.9,23675.05,36606673,704.9
11-JUL-2017,23744.55,23744.55,23552.6,23584.6,78963065,2486.24
12-JUL-2017,23623.75,23736.55,23523.65,23695.45,69663347,2115.83
13-JUL-2017,23817.25,23938,23811,23888.65,84983841,3415.57
14-JUL-2017,23949.5,23963.65,23755.95,23937.7,71052482,2242.23
17-JUL-2017,24011.4,24066.1,23913.65,24015.05,65783041,1947.9
18-JUL-2017,23958.15,24147.45,23942.1,24022.05,75082364,2216.31
19-JUL-2017,24069.2,24180.75,24053.7,24152.65,72823157,2589.27
20-JUL-2017,24170.65,24299.6,24170.65,24213.35,91515347,3668.17
21-JUL-2017,24231.4,24289.3,24066.9,24257.05,65322497,1978.15
24-JUL-2017,24307.7,24460.55,24234.65,24420.85,74481260,3185.24
25-JUL-2017,24622.9,24624.65,24450.2,24520.7,76545885,2988.16
26-JUL-2017,24578.15,24720.9,24484.9,24670.7,132701870,4678.1
27-JUL-2017,24857.5,25032.25,24799.4,24922.4,152249420,6518.92
28-JUL-2017,24744.55,24859.75,24651.05,24811.3,100038906,4508.13
31-JUL-2017,24880.6,25168.1,24828.5,25103.65,130095973,4618.56
01-AUG-2017,25152.85,25179.5,25000.9,25122.8,71831819,2830.18
02-AUG-2017,25190.4,25198.8,24926.25,25055.2,86354876,2658.97
03-AUG-2017,25002.85,25005.15,24619.6,24675.05,88206784,2681.36
